name,type_name,sphere_name,position,traits,keywords,text,flavor,shadow,german_name,german_type_name,german_sphere_name,german_position,german_traits,german_keywords,german_text,german_flavor,german_shadow
Aragorn,Hero,Leadership,1,Dúnedain. Noble. Ranger.,Sentinel.,"Sentinel.
<b>Response:</b> After Aragorn commits to a quest, spend 1 resource from his resource pool to ready him.","""I am Aragorn son of Arathorn; and if by life or death I can save you, I will.""
-The Fellowship of the Ring",None,Aragorn,Held,Führung,1,Dúnedain. Adlig. Waldläufer.,Schildwache,"Reaktion: Nachdem sich Aragorn einem Abenteuer gestellt hat, gib 1 Ressource aus seinem Ressourcenvorrat aus, um ihn spielbereit zu machen. ","„Ich bin Aragorn, Arathorns Sohn, und wenn ich durch Leben oder Tod euch retten kann, dann will ich es tun.“ 
–Die Gefährten ",None
Théodred,Hero,Leadership,2,Noble. Rohan. Warrior.,None,"<b>Response:</b> After Théodred commits to a quest, choose a hero committed to that quest. Add 1 resource to that hero's resource pool.","""Not all is dark. Take courage, Lord of the Mark...""
-Gandalf, The Two Towers",None,Théodred,Held,Führung,2,Rohan. Adlig. Krieger.,,"Reaktion: Nachdem sich Théodred einem Abenteuer gestellt hat, wähle einen Helden aus, der sich diesem Abenteuer gestellt hat. Dieser Held erhält 1 Ressource in seinen Ressourcenvorrat. ","„Nicht alles ist dunkel. Fasst Mut, Herr der Mark!“ 
−Gandalf, Die Zwei Türme ",None
Glóin,Hero,Leadership,3,Dwarf. Noble.,None,"<b>Response:</b> After Glóin suffers damage, add 1 resource to his resource pool for each point of damage he just suffered.","His beard, very long and forked, was white, nearly as white as the snow-white cloth of his garments.
-The Fellowship of the Ring",None,Glóin,Held,Führung,3,Zwerg. Adlig.,,"Reaktion: Nachdem Glóin Schaden erlitten hat, erhält er für jeden eben erlittenen Schaden 1 Ressource in seinen Ressourcenvorrat.","„Sein Bart, sehr lang und gegabelt, war weiß, fast so weiß wie das schneeweiße Tuch seines Gewands.“ 
−Die Gefährten ",None
Gimli,Hero,Tactics,4,Dwarf. Noble. Warrior.,None,Gimli gets +1 [attack] for each damage token on him.,"""Men need many words before deeds. My axe is restless in my hands""
-The Two Towers",None,Gimli,Held,Taktik,4,Zwerg. Adlig.Krieger.,,Gimli erhält +1 [attack] für jeden Schadensmarker auf ihm. ,"„Die Menschen brauchen vor Taten viele Worte. Meine Axt ist unruhig in meiner Hand.“ 
−Die Zwei Türme ",None
Legolas,Hero,Tactics,5,Noble. Silvan. Warrior.,Ranged.,"Ranged.
<b>Response:</b> After Legolas participates in an attack that destroys an enemy, place 2 progress tokens on the current quest.","""I can walk this path, but others have not this skill.""
-The Fellowship of the Ring",None,Legolas,Held,Taktik,5,Adlig. Waldelb. Krieger.,Fernkampf,"Reaktion: Nachdem Legolas an einem Angriff teilgenommen hat, der einen Gegner getötet hat, lege 2 Fortschrittsmarker auf die aktuelle Abenteuerkarte. ","„Ich kann darauf laufen, aber die anderen sind nicht so geschickt.“ 
–Die Gefährten ",None
Thalin,Hero,Tactics,6,Dwarf. Warrior.,None,"While Thalin is committed to a quest, deal 1 damage to each enemy as it is revealed by the encounter deck.","There hammer on the anvil smote,
There chisel clove, and graver wrote;
There forged was blade, and bound was hilt;
The delver mined, the mason built.
-The Fellowship of the Ring",None,Thalin,Held,Taktik,6,Zwerg. Krieger.,,"Solange sich Thalin einem Abenteuer stellt, füge jedem Gegner, der vom Begegnungsdeck aufgedeckt wird, 1 Schaden zu. ","„Der Hammer auf den Amboß hieb, 
Der Stichel grub, der Meißel trieb, 
Geschärfte Schwerterklinge sang, 
Der Reichtum wuchs bei jedem Gang.“ 
–Die Gefährten ",None
Éowyn,Hero,Spirit,7,Noble. Rohan.,None,<b>Action:</b> Discard 1 card from your hand to give Éowyn +1 [willpower] until the end of the phase. This effect may be triggered by each player once each round.,"Slender and tall she was in her white robe girt with silver; but strong she seemed and stern as steel, a daughter of kings.
-The Two Towers",None,Éowyn,Held,Geist,7,Rohan. Adlig.,,"Aktion: Lege 1 Karte aus deiner Hand ab, um Éowyn bis zum Ende der Phase +1 [willpower] zu geben. Dieser Effekt kann von jedem Spieler ein Mal pro Runde ausgelöst werden. ","Schlank und groß war sie in ihrem weißen Gewand mit dem silbernen Gürtel; doch stark schien sie zu sein, und hart wie Stahl, eine Tochter von Königen. 
–Die Zwei Türme ",None
Eleanor,Hero,Spirit,8,Gondor. Noble.,None,"<b>Response:</b> Exhaust Eleanor to cancel the 'when revealed' effects of a treachery card just revealed by the encounter deck. Then, discard that card, and replace it with the next card from the encounter deck.","""Gondor wanes, you say. But Gondor stands, and even the end of its strength is very strong.""
-Boromir, The Fellowship of the Ring",None,Eleanor,Held,Geist,8,Gondor. Adlig.,,"Reaktion: Erschöpfe Eleanor, um die „Wenn aufgedeckt“-Effekte einer gerade vom Begegnungsdeck aufgedeckten Verratskarte zu verhindern. Lege danach jene Karte auf den Ablagestapel und ersetze sie durch die nächste Karte des Begegnungsdecks. ","„Gondors Macht schwindet, sagt Ihr. Aber Gondor steht noch, und selbst das Ende seiner Kraft ist noch sehr stark.“ 
−Boromir, die Gefährten ",None
Dúnhere,Hero,Spirit,9,Rohan. Warrior.,None,"Dúnhere can target enemies in the staging area when he attacks alone. When doing so, he gets +1 [attack].","Captains rode to meet him at the ford, bearing messages from Gandalf. Dúnhere, chieftain of the folk of Harrowdale, was at their head.
-The Return of the King",None,Dúnhere,Held,Geist,9,Rohan. Krieger.,,"Dúnhere kann Gegner in der Aufmarschzone als Ziel wählen, sobald er allein angreift. Sobald er dies tut, erhält er +1 [attack]. ","Hauptleute ritten ihm zur Furt entgegen und brachten ihm Botschaften von Gandalf. Dúnhere, der Anführer des Volkes von Hargtal, war an ihrer Spitze. 
–Die Rückkehr des Königs",Nonce
Denethor,Hero,Lore,10,Gondor. Noble. Steward.,None,<b>Action:</b> Exhaust Denethor to look at the top card of the encounter deck. You may move that card to the bottom of the deck.,"""And the lord Denethor is unlike other men: he sees far.""
-Beregond, The Return of the King",None,Denethor,Held,Wissen,10,Gondor. Adlig. Truchsess.,,"Aktion: Erschöpfe Denethor, um dir die oberste Karte des Begegnungsdecks anzusehen. Du kannst diese Karte unter das Begegnungsdeck legen. ","„Und der Herr Denethor ist nicht wie andere Menschen: er blickt weit.“ 
−Beregond, Die Rückkehr des Königs",None
Glorfindel,Hero,Lore,11,Noble. Noldor. Warrior.,None,<b>Action:</b> Pay 1 resource from Glorfindel's pool to heal 1 damage on any character. (Limit once per round.),"""You saw him for a moment as he is upon the other side: one of the mighty of the firstborn.""
-Gandalf, The Fellowship of the Ring",None,Glorfindel,Held,Wissen,11,Noldor. Adlig. Krieger.,,"Aktion: Zahle 1 Ressource aus Glorfindels Vorrat, um 1 Schaden eines beliebigen Charakters zu heilen (nur 1 Mal pro Runde). ","„Du hast ihn einen Augenblick so gesehen, wie ihn die andere Seite sieht: als einen der Mächtigen unter den Erstgeborenen.“
−Gandalf, Die Gefährten",None
Beravor,Hero,Lore,12,Dúnedain. Ranger.,None,<b>Action:</b> Exhaust Beravor to choose a player. That player draws 2 cards. Limit once per round.,"But in the wild lands beyond Bree there were mysterious wanderers. The Bree-folk called them Rangers, and knew nothing of their origin.
-The Fellowship of the Ring",None,Beravor,Held,Wissen,12,Dúnedain. Waldläufer.,,"Aktion: Erschöpfe Beravor, um einen Spieler zu wählen. Dieser Spieler zieht zwei Karten (nur einmal pro Runde). ","„Doch waren in den wilden Landen jenseits von Bree geheimnisvolle Wanderer unterwegs. Die Leute nannten sie Waldläufer und wussten nichts über ihre Herkunft.“ 
–Die Gefährten ",None
Guard of the Citadel,Ally,Leadership,13,Gondor. Warrior.,None,,"""But the Lords of Minas Tirith still fight on, defying our enemies, keeping the passage of the River from Argonath to the Sea.""
-Elrond, The Fellowship of the Ring",None,,,,,,,,,
Faramir,Ally,Leadership,14,Gondor. Noble. Ranger.,None,<b>Action:</b> Exhaust Faramir to choose a player. Each character controlled by that player gets +1 [willpower] until the end of the phase.,"""He leads now in all perilous ventures. But his life is charmed, or fate spares him for some other end.""
-Mablung, Ranger of Ithilien,
The Two Towers",None,,,,,,,,,
Son of Arnor,Ally,Leadership,15,Dúnedain.,None,"<b>Response:</b> After Son of Arnor enters play, choose an enemy card in the staging area or currently engaged with another player. Engage that enemy.","...and the North-realm they made in Arnor, and the South-realm in Gondor above the mouths of Anduin.
-The Fellowship of the Ring",None,,,,,,,,,
Snowbourn Scout,Ally,Leadership,16,Rohan. Scout.,None,"<b>Response:</b> After Snowbourn Scout enters play, choose a location. Place 1 progress token on that location.","...he saw not a shadow, nor a blur, but the small figures of horsemen, many horsemen, and the glint of morning on the tips of their spears was like the twinkle of minute stars beyond the edge of mortal sight.
-The Two Towers",None,,,,,,,,,
Silverlode Archer,Ally,Leadership,17,Archer. Silvan.,Ranged.,Ranged.,"""We have been keeping watch on the rivers, ever since we saw a great troop of Orcs going north towards Moria, along the skirts of the mountains, many days ago.""
-Haldir of Lórien, The Fellowship of the Ring",None,,,,,,,,,
Longbeard Orc Slayer,Ally,Leadership,18,Dwarf. Warrior.,None,"<b>Response:</b> After Longbeard Orc Slayer enters play, deal 1 damage to each Orc enemy in play.","Five dead Orcs lay there. They had been hewn with many cruel strokes, and two had been beheaded. The ground was wet with their dark blood.
-The Two Towers",None,,,,,,,,,
Brok Ironfist,Ally,Leadership,19,Dwarf. Warrior.,None,"<b>Response:</b> After a Dwarf hero you control leaves play, put Brok Ironfist into play from your hand.","...there is no knowing what a Dwarf will not dare and do for revenge and the recovery of his own.
-The Hobbit",None,,,,,,,,,
Ever Vigilant,Event,Leadership,20,,None,<b>Action:</b> Choose and ready 1 ally card.,"""...no road looks toward safety any longer. Be vigilant!""
-Gandalf, The Return of the King",None,,,,,,,,,
Common Cause,Event,Leadership,21,,None,<b>Action:</b> Exhaust 1 hero you control to choose and ready a different hero.,"""We will make such a chase as shall be accounted a marvel among the Three Kindreds: Elves, Dwarves, and Men.""
-Aragorn, The Two Towers",None,,,,,,,,,
For Gondor!,Event,Leadership,22,,None,"<b>Action:</b> Until the end of the phase, all characters get +1 [attack]. All Gondor characters also get +1 [defense] until the end of the phase.","And the tree that was withered shall be renewed,
and he shall plant it in high places,

and the City shall be blessed.
-The Return of the King",None,,,,,,,,,
Sneak Attack,Event,Leadership,23,,None,"<b>Action:</b> Put 1 ally card into play from your hand. At the end of the phase, if that ally is still in play, return it to your hand.","There is a seed of courage hidden (often deeply, it is true) in the heart of the fattest and most timid hobbit, waiting for some final and desperate danger to make it grow.
-The Fellowship of the Ring",None,,,,,,,,,
Valiant Sacrifice,Event,Leadership,24,,None,"<b>Response:</b> After an ally card leaves play, that card's controller draws 2 cards.","""He fell defending the Hobbits, while I was away upon the hill.""
-Aragorn, The Two Towers",None,,,,,,,,,
Grim Resolve,Event,Leadership,25,,None,<b>Action:</b> Ready all character cards in play.,"""If there is only one way, then I must take it. What comes after must come.""
-Frodo Baggins, The Two Towers",None,,,,,,,,,
Steward of Gondor,Attachment,Leadership,26,Gondor. Title.,None,"Attach to a hero. Attached hero gains the Gondor trait.
<b>Action:</b> Exhaust Steward of Gondor to add 2 resources to attached hero's resource pool.","""It was commanded yesterday."" -Denethor, The Return of the King",None,,,,,,,,,
Celebrían's Stone,Attachment,Leadership,27,Artifact. Item.,Restricted.,"Attach to a hero. Restricted.
Attached hero gains +2 [willpower].
If attached hero is Aragorn, he also gains a [spirit] resource icon.","""You needn't,"" said Bilbo. ""As a matter of fact it was all mine. Except that Aragorn insisted on my putting in a green stone. He seemed to think it important. I don't know why.""
-The Fellowship of the Ring",None,,,,,,,,,
Veteran Axehand,Ally,Tactics,28,Dwarf. Warrior.,None,,"""I am glad to have you standing nigh with your stout legs and your hard axe."" -Legolas, The Two Towers",None,,,,,,,,,
Gondorian Spearman,Ally,Tactics,29,Gondor. Warrior.,Sentinel.,"Sentinel.
<b>Response:</b> After Gondorian Spearman is declared as a defender, deal 1 damage to the attacking enemy.",More than a thousand were there mustered. Their spears were like a springing wood. -The Two Towers,None,,,,,,,,,
Horseback Archer,Ally,Tactics,30,Rohan. Archer.,Ranged.,Ranged.,"A few of the riders appeared to be bowmen, skilled at shooting from a running horse. -The Two Towers",None,,,,,,,,,
Beorn,Ally,Tactics,31,Beorning. Warrior.,None,"<b>Action:</b> Beorn gains +5 [attack] until the end of the phase. At the end of the phase in which you trigger this effect, shuffle Beorn back into your deck. (Limit once per round.)","""I don't need your service, thank you...but I expect you need mine."" -The Hobbit",None,,,,,,,,,
Blade Mastery,Event,Tactics,32,,None,"<b>Action:</b> Choose a character. Until the end of the phase, that character gains +1 [attack] and +1 [defense].","Throwing back his cloak, he laid his hand on the hilt of a sword that had hung concealed by his side. They did not dare to move. -The Fellowship of the Ring",None,,,,,,,,,
Rain of Arrows,Event,Tactics,33,,None,<b>Action:</b> Exhaust a character you control with the ranged keyword to choose a player. Deal 1 damage to each enemy engaged with that player.,"Arrows thick as the rain came whistling over the battlements, and fell clinking and glancing on the stones. Many found their mark. -The Two Towers",None,,,,,,,,,
Feint,Event,Tactics,34,,None,<b>Combat Action:</b> Choose an enemy engaged with a player. That enemy cannot attack that player this phase.,"A few brave men were strung before them to make a feint of resistance, and many there fell before the rest drew back and fled to either side. -The Hobbit",None,,,,,,,,,
Quick Strike,Event,Tactics,35,,None,<b>Action:</b> Exhaust a character you control to immediately declare it as an attacker (and resolve its attack) against any eligible enemy target.,"""...for he that strikes the first blow, if he strikes it hard enough, may need to strike no more."" -Gandalf, The Two Towers",None,,,,,,,,,
Thicket of Spears,Event,Tactics,36,,None,"You must use resources from 3 different heroes' pools to pay for this card.
<b>Action:</b> Choose a player. That player's engaged enemies cannot attack that player this phase.","Without a word or cry, suddenly, the Riders halted. A thicket of spears were pointed towards the strangers...
-The Two Towers",None,,,,,,,,,
Swift Strike,Event,Tactics,37,,None,"<b>Response:</b> After a character is declared as a defender, deal 2 damage to the attacking enemy.","A swift stroke she dealt, skilled and deadly.
-The Return of the King",None,,,,,,,,,
